project_id,project_key,project_name,issue_key,issue_type,summary,description,priority,status,assignee,reporter,story_points,original_estimate_hours,remaining_estimate_hours,time_spent_hours,sprint_id,sprint_name,sprint_start_date,sprint_end_date,issue_created_date,issue_updated_date,resolution,resolution_date,blocker_status,labels,epic,dependencies
10001,PHX,Phoenix Platform Modernization,PHX-1,Story,Implement pagination for dashboard,"As part of dashboard, the team needs to address: implement pagination for dashboard. Acceptance criteria to be validated in QA before release.",Medium,To Do,Tom O'Brien,Carlos Diaz,1,10.3,10.3,0.0,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2025-12-28,2026-01-16,,,Not Blocked,compliance,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-2,Story,Add support for email notifications in checkout,"As part of checkout, the team needs to address: add support for email notifications in checkout. Acceptance criteria to be validated in QA before release.",Medium,In Progress,Priya Raman,Rahul Mehta,2,10.2,5.3,4.9,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2026-01-04,2026-01-06,,,Not Blocked,customer-reported;performance,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-3,Epic,dashboard bulk export Initiative,"As part of dashboard, the team needs to address: dashboard bulk export initiative. Acceptance criteria to be validated in QA before release.",Low,Done,Nathan Brooks,David Kim,,,,,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2025-12-31,2026-01-18,Fixed,2026-01-18,Not Blocked,tech-debt,,
10001,PHX,Phoenix Platform Modernization,PHX-4,Sub-task,Deploy reporting engine to staging,"As part of reporting engine, the team needs to address: deploy reporting engine to staging. Acceptance criteria to be validated in QA before release.",Medium,In Review,David Kim,Brianna Scott,,16.1,12.8,3.3,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2026-01-01,2026-01-23,,,Blocked,,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-5,Bug,Resolve intermittent failure in API gateway,"As part of API gateway, the team needs to address: resolve intermittent failure in api gateway. Acceptance criteria to be validated in QA before release.",Medium,Done,Fatima Noor,Brianna Scott,,4.1,0.0,4.9,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2025-12-31,2026-01-12,Fixed,2026-01-12,Not Blocked,infra;security,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-6,Story,Enable search filters on API gateway page,"As part of API gateway, the team needs to address: enable search filters on api gateway page. Acceptance criteria to be validated in QA before release.",Medium,In Review,Carlos Diaz,Rahul Mehta,8,17.2,13.6,3.6,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2026-01-03,2026-01-19,,,Not Blocked,,,PHX-4
10001,PHX,Phoenix Platform Modernization,PHX-7,Bug,billing module throws exception when currency conversion used,"As part of billing module, the team needs to address: billing module throws exception when currency conversion used. Acceptance criteria to be validated in QA before release.",Lowest,Done,Jamal Carter,Wei Zhang,1,27.9,0.0,21.4,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2025-12-28,2026-01-21,Fixed,2026-01-21,Not Blocked,,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-8,Task,Upgrade user profile dependencies,"As part of user profile, the team needs to address: upgrade user profile dependencies. Acceptance criteria to be validated in QA before release.",Low,In Progress,Sofia Rossi,Fatima Noor,13,21.3,17.1,4.2,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2025-12-31,2026-01-05,,,Not Blocked,,PHX-EP-2 Microservices Migration,PHX-7
10001,PHX,Phoenix Platform Modernization,PHX-9,Story,Implement audit logging for settings page,"As part of settings page, the team needs to address: implement audit logging for settings page. Acceptance criteria to be validated in QA before release.",Highest,In Review,David Kim,Wei Zhang,1,39.2,24.8,14.4,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2026-01-03,2026-01-07,,,Not Blocked,tech-debt,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-10,Bug,payments service throws exception when pagination used,"As part of payments service, the team needs to address: payments service throws exception when pagination used. Acceptance criteria to be validated in QA before release.",Medium,Done,Alicia Chen,David Kim,3,18.6,0.0,18.8,PHX-SPR-1,PHX Sprint 1,2026-01-05,2026-01-18,2026-01-04,2026-01-11,Fixed,2026-01-11,Not Blocked,customer-reported,PHX-EP-1 Legacy Decommission,
