project_id,project_name,cost_center,budget,approved_budget,forecast_cost,actual_cost,committed_cost,remaining_budget,planned_hours,actual_hours,labor_cost,vendor_cost,capital_cost,operating_cost,financial_period,currency
10001,Phoenix Platform Modernization,CC-1001-ENG,61842.65,60076.96,68553.8,66923.39,70355.64,-6846.43,1092.8,954.6,45939.94,8129.17,460.15,12394.13,2026-01,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,62819.05,61045.88,66880.28,68493.53,71831.95,-7447.65,939.3,1020.9,43661.17,7273.07,3208.46,14350.83,2026-02,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,62854.16,61219.65,70895.07,67890.47,70906.38,-6670.82,851.5,838.9,43045.18,11419.2,559.72,12866.37,2026-03,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,59983.94,59465.88,69792.07,64026.64,68316.79,-4560.76,938.6,943.1,40321.29,11379.0,2384.87,9941.48,2026-04,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,60927.67,59428.42,66088.57,62991.61,64850.88,-3563.19,1067.9,929.6,39323.61,8462.77,2261.82,12943.41,2026-05,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,62574.58,61007.02,70782.87,65992.95,74333.53,-4985.93,805.2,872.3,45819.09,7111.54,2946.33,10115.99,2026-06,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,61500.76,60301.82,59833.54,61151.35,68186.86,-849.53,898.0,942.2,34491.77,7765.85,3410.01,15483.72,2026-07,USD
10001,Phoenix Platform Modernization,CC-1001-ENG,61310.05,60533.77,68847.48,67749.24,74484.84,-7215.47,1008.7,969.8,46276.53,9125.86,5098.26,7248.59,2026-08,USD
10002,Orca Payments Gateway,CC-1002-FIN,77011.75,75000.22,76433.92,70456.41,79369.6,4543.81,748.6,709.5,39602.65,10210.45,3096.93,17546.38,2026-01,USD
10002,Orca Payments Gateway,CC-1002-FIN,77729.88,76047.23,71261.57,71250.57,74836.87,4796.66,849.2,798.0,49423.65,8200.38,1004.45,12622.09,2026-02,USD
10002,Orca Payments Gateway,CC-1002-FIN,74887.22,73964.14,67645.7,63830.9,69385.07,10133.24,757.6,644.7,38642.46,9998.1,4866.97,10323.37,2026-03,USD
10002,Orca Payments Gateway,CC-1002-FIN,75881.95,75144.83,69961.06,68463.94,70754.73,6680.89,632.4,679.8,46636.06,12308.95,2149.1,7369.83,2026-04,USD
10002,Orca Payments Gateway,CC-1002-FIN,76007.17,73868.89,61448.53,62090.27,64151.07,11778.62,640.4,577.8,37316.75,6535.47,1.16,18236.89,2026-05,USD
10002,Orca Payments Gateway,CC-1002-FIN,73977.07,71814.35,59445.39,60291.31,68150.99,11523.04,1124.6,1128.6,35441.56,8123.59,1756.47,14969.69,2026-06,USD
10002,Orca Payments Gateway,CC-1002-FIN,78698.27,77437.5,63061.41,63634.95,65098.71,13802.55,890.3,775.9,38269.76,8048.27,4219.53,13097.39,2026-07,USD
10002,Orca Payments Gateway,CC-1002-FIN,78382.39,77273.1,66351.27,62565.7,65940.81,14707.4,688.0,678.2,39367.37,12378.63,4321.16,6498.54,2026-08,USD
10003,Nova Customer Portal,CC-1003-CX,61598.1,60161.87,66341.47,66650.13,70057.31,-6488.26,924.9,902.4,42788.33,11919.7,4043.38,7898.72,2026-01,USD
10003,Nova Customer Portal,CC-1003-CX,61879.28,61514.18,67617.82,67945.74,74649.82,-6431.56,720.0,700.7,47456.06,12163.06,2566.94,5759.68,2026-02,USD
10003,Nova Customer Portal,CC-1003-CX,61526.76,61173.41,71071.81,70097.05,75897.23,-8923.64,1033.9,969.2,39400.2,7725.8,2636.1,20334.95,2026-03,USD
10003,Nova Customer Portal,CC-1003-CX,65532.81,64766.59,69048.39,67660.69,75272.12,-2894.1,601.1,647.6,43740.6,12413.36,649.02,10857.71,2026-04,USD
10003,Nova Customer Portal,CC-1003-CX,60620.75,60418.9,63941.57,59946.95,61807.67,471.95,860.4,868.1,41478.78,10321.81,2221.2,5925.16,2026-05,USD
10003,Nova Customer Portal,CC-1003-CX,60367.85,60355.38,65582.14,63569.13,72587.73,-3213.75,616.5,615.1,41216.87,10244.63,3030.32,9077.31,2026-06,USD
10003,Nova Customer Portal,CC-1003-CX,60349.45,59531.63,72724.62,66218.55,69219.89,-6686.92,612.8,643.3,37441.01,11584.91,737.68,16454.95,2026-07,USD
10003,Nova Customer Portal,CC-1003-CX,64836.92,62946.26,69972.23,71552.28,79865.93,-8606.02,727.7,709.7,42852.55,11050.2,4775.08,12874.45,2026-08,USD
10004,Titan Infra Automation,CC-1004-INFRA,77362.85,76241.31,78141.43,72964.88,80196.58,3276.43,1096.3,1172.5,41792.49,11021.69,5094.73,15055.97,2026-01,USD
10004,Titan Infra Automation,CC-1004-INFRA,77070.29,75104.54,74934.48,72560.07,81335.75,2544.47,684.9,688.2,40580.18,12207.01,3080.76,16692.12,2026-02,USD
10004,Titan Infra Automation,CC-1004-INFRA,77874.21,75670.73,71445.4,73034.79,77587.03,2635.94,714.8,615.1,45122.82,7507.0,5223.52,15181.45,2026-03,USD
10004,Titan Infra Automation,CC-1004-INFRA,78550.2,77622.06,81836.29,78839.05,89393.78,-1216.99,719.6,661.5,52909.23,11886.97,1562.0,12480.85,2026-04,USD
10004,Titan Infra Automation,CC-1004-INFRA,78208.57,78027.4,82186.1,77735.71,83619.06,291.69,1135.7,1022.9,47612.78,10823.64,1965.03,17334.26,2026-05,USD
10004,Titan Infra Automation,CC-1004-INFRA,72845.17,71321.5,77202.33,78152.42,84467.58,-6830.92,673.4,703.2,50527.0,10677.05,1582.48,15365.89,2026-06,USD
10004,Titan Infra Automation,CC-1004-INFRA,76850.12,74761.62,80880.15,79100.76,85014.8,-4339.14,1131.0,1007.4,46159.79,13497.15,6290.55,13153.27,2026-07,USD
10004,Titan Infra Automation,CC-1004-INFRA,73924.61,71911.33,74228.75,73609.76,84275.87,-1698.43,819.6,765.9,48249.19,10190.13,3047.05,12123.39,2026-08,USD
10005,Lynx Data Analytics,CC-1005-DATA,41153.45,41118.51,42062.43,41040.8,46724.29,77.71,662.9,607.5,27368.04,5214.01,425.37,8033.38,2026-01,USD
10005,Lynx Data Analytics,CC-1005-DATA,41275.92,40357.87,47610.63,44938.3,48321.76,-4580.43,689.6,744.6,29437.4,4895.86,206.81,10398.23,2026-02,USD
10005,Lynx Data Analytics,CC-1005-DATA,38289.66,38218.84,39591.51,38476.07,40941.99,-257.23,980.7,1030.1,26103.49,4103.94,2655.7,5612.94,2026-03,USD
10005,Lynx Data Analytics,CC-1005-DATA,40212.26,40123.8,42458.13,43477.71,45487.68,-3353.91,760.7,671.2,25467.74,4823.64,561.55,12624.78,2026-04,USD
10005,Lynx Data Analytics,CC-1005-DATA,39247.97,38429.66,42361.85,42253.75,43183.12,-3824.09,1055.7,973.9,24367.1,5691.58,61.4,12133.67,2026-05,USD
10005,Lynx Data Analytics,CC-1005-DATA,40932.32,40381.02,48749.94,47130.98,53187.3,-6749.96,713.7,691.4,26673.41,8572.75,1629.52,10255.3,2026-06,USD
10005,Lynx Data Analytics,CC-1005-DATA,39572.34,38986.69,42469.21,41530.18,44237.19,-2543.49,1012.6,1109.4,28026.35,7088.06,2112.98,4302.79,2026-07,USD
10005,Lynx Data Analytics,CC-1005-DATA,38217.55,37219.86,42823.03,39534.91,43771.89,-2315.05,642.4,665.0,22712.29,4287.5,2660.76,9874.36,2026-08,USD
10007,Helios Compliance Program,CC-1007-GRC,51200.00,50000.00,48500.00,29800.00,5200.00,20200.00,620.0,590.5,22100.00,5400.00,800.00,1500.00,2026-06,USD
10007,Helios Compliance Program,CC-1007-GRC,51500.00,50250.00,48900.00,31200.00,5300.00,19050.00,615.0,601.2,23000.00,5100.00,750.00,1450.00,2026-07,USD
10007,Helios Compliance Program,CC-1007-GRC,51800.00,50500.00,49200.00,32600.00,5400.00,17900.00,610.0,615.8,23800.00,5000.00,700.00,1400.00,2026-08,USD
